Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode
1294675,2020-06-20 18:59:17,3519232971341141,fraud_Bode-Rempel,kids_pets,14.17,Michael,Jones,M,754 Smith Isle,Amsterdam,OH,43903,40.4731,-80.9596,2208,Mental health nurse,1961-09-10,fffbf8b45c1180f3020074258fb8bbfa,1371754757,40.749169,-80.138488,0,16063.0
1294676,2020-06-20 18:59:36,6011693194885790,fraud_Kiehn-Emmerich,grocery_pos,60.49,Victoria,Fleming,F,2807 Parker Station Suite 080,Stanchfield,MN,55080,45.6675,-93.2433,2607,"Lecturer, further education",1995-12-04,9d6be03787c0f552ab87deff07d2ded0,1371754776,45.81467,-93.728496,0,56353.0
1294677,2020-06-20 18:59:51,6011706277606006,fraud_Block-Hauck,travel,3.25,Scott,Sullivan,M,776 Martin Ridge,Newton,NH,3858,42.8678,-71.042,4603,"Therapist, music",1952-12-07,e5d6ac644b5dcb8084f44df2b347b444,1371754791,43.243033,-71.92325100000001,0,3221.0
1294678,2020-06-20 19:00:35,4890424426862856940,fraud_Wuckert-Goldner,home,18.97,Jeremy,Whitney,M,0371 Aimee Neck Suite 856,Sacramento,CA,95827,38.5662,-121.3286,757530,Magazine features editor,1979-04-30,a59086c8df7c9caa9a380189e9f96297,1371754835,38.822279,-120.753932,0,95633.0
1294679,2020-06-20 19:01:18,4725837176265195730,fraud_Zboncak LLC,food_dining,209.71,Elizabeth,Mckee,F,358 Pruitt Square,Jay,FL,32565,30.8985,-87.1332,5719,Higher education careers adviser,1994-11-05,def55c973674957dce4e39bc4f380cdc,1371754878,31.698191,-87.853989,0,36451.0
1294680,2020-06-20 19:01:25,3596357274378601,fraud_Jewess LLC,shopping_pos,2.9,David,Everett,M,4138 David Fall,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,1973-05-27,455e13456767359996998ccf4b8e3012,1371754885,41.096418,-78.377593,0,16881.0
1294681,2020-06-20 19:02:20,4586260469584,"fraud_Conroy, Balistreri and Gorczany",health_fitness,14.53,Melody,Thompson,F,0362 Anderson Wall,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,1953-01-20,70f149f9517575ebf1abc4e12b9c5ce4,1371754940,41.038169,-96.106876,0,68059.0
1294682,2020-06-20 19:02:57,4855488158131690372,fraud_Reichel Inc,entertainment,82.74,Jeremy,Roberson,M,25887 Martin Inlet,Graniteville,VT,5654,44.1554,-72.4847,970,Agricultural consultant,1993-09-29,31d28b0af3d65577ad432b3b3a9c02b3,1371754977,44.85194,-72.516214,0,5471.0
1294683,2020-06-20 19:03:42,4301028321766222513,"fraud_Yost, Schamberger and Windler",kids_pets,41.85,Joe,Howard,M,109 Brian Lights Apt. 504,Shippingport,PA,15077,40.6025,-80.3863,198,Secretary/administrator,1978-10-26,0d9967319cac19fdb37250ac15bb3eec,1371755022,40.827346,-80.64432,0,44445.0
1294684,2020-06-20 19:03:56,4755696071492,"fraud_Becker, Harris and Harvey",personal_care,37.16,Robert,Evans,M,01892 Patricia Vista Apt. 828,Sachse,TX,75048,32.9643,-96.6012,20328,Site engineer,1985-06-20,7ca7f27b2535ec6d5b22d56f1440a00a,1371755036,32.849198,-97.202218,0,76180.0
1294685,2020-06-20 19:04:23,30082025922891,fraud_Feil-Morar,health_fitness,11.82,Kathleen,Thompson,F,199 Patterson Fords Apt. 132,Naples,FL,34112,26.1184,-81.7361,276002,"Pilot, airline",1934-06-23,62ebc3bbe4ea00921df0ca9e3a97a8f5,1371755063,25.177635,-82.28186600000001,0,
1294686,2020-06-20 19:04:34,4716561796955522,"fraud_Durgan, Gislason and Spencer",home,64.01,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,1972-05-04,4f74d4420ddc27e1a6f364ff0e0738c1,1371755074,47.996429,-112.843475,0,
1294687,2020-06-20 19:05:05,6592861994408652,fraud_Reilly and Sons,health_fitness,101.75,Ashley,Whitehead,F,58188 Madison Meadow Apt. 949,Cowlesville,NY,14037,42.8112,-78.4481,1166,Colour technologist,1983-06-12,f8b90ed2ff0ef4e76b0fdeca0f7f501c,1371755105,42.921911,-77.982927,0,14482.0
1294688,2020-06-20 19:05:54,2235613922823698,fraud_Schaefer Ltd,kids_pets,7.89,Melissa,Mcclure,F,2027 Snyder Track,Manville,WY,82227,42.73,-104.7024,241,Educational psychologist,1980-12-16,0900108c4e9938bee39ed7dc6e4e6990,1371755154,41.84089,-104.062154,0,69352.0
1294689,2020-06-20 19:06:31,3511378610369890,fraud_Kilback and Sons,entertainment,70.27,James,Cooper,M,663 Ramirez Trace Apt. 951,Huntsville,AL,35811,34.7789,-86.5438,190178,Television production assistant,1973-04-01,23dfb3d62996e9395dbb8099efd18500,1371755191,35.414159999999995,-86.170172,0,37388.0
1294690,2020-06-20 19:06:50,4079773899158,"fraud_Hintz, Bauch and Smith",health_fitness,130.85,Eric,Preston,M,7020 Doyle Stream Apt. 951,Mesa,ID,83643,44.6255,-116.4493,129,Cartographer,1965-12-15,ce92b8d65bfbc0deae192f354cc98272,1371755210,45.336642,-116.846243,0,97842.0
1294691,2020-06-20 19:07:07,342351256941125,fraud_Torphy-Goyette,shopping_pos,1.19,Rebecca,Obrien,F,5619 Mendoza Inlet,Juliette,GA,31046,33.1194,-83.8235,3343,Theatre manager,1990-06-08,2bee99e4ee4f9d9f1646689260b9e08f,1371755227,33.74732,-83.112199,0,30667.0
1294692,2020-06-20 19:07:53,30501624614310,"fraud_Altenwerth, Cartwright and Koss",shopping_net,2.88,Amanda,Smith,F,180 Graves Shore,Scotia,SC,29939,32.6786,-81.2455,302,Magazine features editor,1973-05-04,e1624ece6213c8a8d6479d838e663cd0,1371755273,31.852014,-80.367719,0,
1294693,2020-06-20 19:09:08,4634955908138648,"fraud_Hauck, Dietrich and Funk",kids_pets,19.01,Mackenzie,Smith,F,7178 Willis Drive,Hooper,NE,68031,41.6414,-96.5232,1745,"Engineer, automotive",1973-12-26,536d4781758f46f2bf52322cb22fa5f4,1371755348,41.448195,-95.642076,0,51559.0
1294694,2020-06-20 19:09:08,30082025922891,"fraud_Runte, Green and Emard",health_fitness,17.49,Kathleen,Thompson,F,199 Patterson Fords Apt. 132,Naples,FL,34112,26.1184,-81.7361,276002,"Pilot, airline",1934-06-23,7e97260d4f32e121a36ed856c1569d8f,1371755348,25.205416,-82.194802,0,
1294695,2020-06-20 19:10:03,4585132874641,"fraud_Schumm, McLaughlin and Carter",food_dining,8.82,Karen,Gordon,F,543 Ware Path Apt. 593,Utica,MO,64686,39.7417,-93.6289,271,Land/geomatics surveyor,1972-04-18,5f3efea3191b4a80c8d29272be431b36,1371755403,40.220378,-92.80831,0,63559.0
